run_id,seed,status,val_rmse,val_r2,train_seconds,config_id,error_msg,hidden_lstm,hidden_gru,dense1,dense2,dropout,lr,weight_decay,batch_size,grad_clip
1065,42,ok,0.02051664888858795,-0.1382594108581543,8.448533296585083,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,64,16,0.2,0.0005,1e-06,64,1.0
1066,42,ok,0.02083228901028633,-0.1735520362854004,6.7334980964660645,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,64,16,0.2,0.0005,1e-06,128,1.0
1067,42,ok,0.020531611517071724,-0.13992023468017578,8.419235229492188,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,64,16,0.2,0.0005,0.0001,64,1.0
1068,42,ok,0.020830286666750908,-0.1733264923095703,6.727631330490112,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,64,16,0.2,0.0005,0.0001,128,1.0
1069,42,ok,0.020603666082024574,-0.147935152053833,5.52999210357666,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,64,16,0.2,0.001,1e-06,64,1.0
1070,42,ok,0.02026558108627796,-0.11057162284851074,6.726413249969482,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,64,16,0.2,0.001,1e-06,128,1.0
1071,42,ok,0.020583121106028557,-0.14564692974090576,9.722299575805664,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,64,16,0.2,0.001,0.0001,64,1.0
1072,42,ok,0.02032889612019062,-0.11752176284790039,4.496742248535156,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 16, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,64,16,0.2,0.001,0.0001,128,1.0
1073,42,ok,0.0202719047665596,-0.11126470565795898,6.327453136444092,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,64,32,0.0,0.0005,1e-06,64,1.0
1074,42,ok,0.020466627553105354,-0.13271582126617432,4.865321397781372,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,64,32,0.0,0.0005,1e-06,128,1.0
1075,42,ok,0.020294738933444023,-0.11376953125,6.359548330307007,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,64,32,0.0,0.0005,0.0001,64,1.0
1076,42,ok,0.02046649530529976,-0.13270115852355957,4.858395576477051,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,64,32,0.0,0.0005,0.0001,128,1.0
1077,42,ok,0.020805133506655693,-0.17049455642700195,3.818871259689331,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,64,32,0.0,0.001,1e-06,64,1.0
1078,42,ok,0.0206749364733696,-0.15589070320129395,5.2206573486328125,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,64,32,0.0,0.001,1e-06,128,1.0
1079,42,ok,0.02080508880317211,-0.17048966884613037,3.795431137084961,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,64,32,0.0,0.001,0.0001,64,1.0
1080,42,ok,0.02067478746175766,-0.15587401390075684,5.22222375869751,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.0, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,64,32,0.0,0.001,0.0001,128,1.0
1081,42,ok,0.020695095881819725,-0.15814602375030518,4.644258975982666,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,64,32,0.2,0.0005,1e-06,64,1.0
1082,42,ok,0.02099199779331684,-0.19161498546600342,7.072668790817261,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 1e-06}",,256,128,64,32,0.2,0.0005,1e-06,128,1.0
1083,42,ok,0.02069503255188465,-0.15813887119293213,4.625784397125244,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,64,32,0.2,0.0005,0.0001,64,1.0
1084,42,ok,0.020986313000321388,-0.19096970558166504,7.111530780792236,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.0005, ""weight_decay"": 0.0001}",,256,128,64,32,0.2,0.0005,0.0001,128,1.0
1085,42,ok,0.020229624584317207,-0.10663414001464844,7.640611171722412,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,64,32,0.2,0.001,1e-06,64,1.0
1086,42,ok,0.020468125119805336,-0.1328815221786499,4.873261213302612,"{""batch_size"": 128, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 1e-06}",,256,128,64,32,0.2,0.001,1e-06,128,1.0
1087,42,ok,0.020255083218216896,-0.10942113399505615,7.6066741943359375,"{""batch_size"": 64, ""dense1"": 64, ""dense2"": 32, ""dropout"": 0.2, ""grad_clip"": 1.0, ""hidden_gru"": 128, ""hidden_lstm"": 256, ""lr"": 0.001, ""weight_decay"": 0.0001}",,256,128,64,32,0.2,0.001,0.0001,64,1.0
