number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_gru,params_hidden_lstm,params_lr,params_weight_decay,state
10,0.019673017784953117,2026-01-28 09:34:34.483856,2026-01-28 09:34:41.058594,0 days 00:00:06.574738,128,0.2908611332363597,256,256,0.0017430556848629247,3.766982697385597e-05,COMPLETE
11,0.019495008513331413,2026-01-28 09:34:41.060474,2026-01-28 09:34:44.823605,0 days 00:00:03.763131,128,0.17292209156894295,128,256,0.0007570306716569195,2.7108693172096516e-05,COMPLETE
12,0.019553571939468384,2026-01-28 09:34:44.825380,2026-01-28 09:34:48.393627,0 days 00:00:03.568247,128,0.14456889889899888,256,128,0.0005121788043699159,2.9168259661070355e-05,COMPLETE
13,0.021828431636095047,2026-01-28 09:34:48.395848,2026-01-28 09:34:50.670778,0 days 00:00:02.274930,128,0.1998724490379442,128,256,0.0007697594017070293,0.00016483775219030018,PRUNED
14,0.01996399275958538,2026-01-28 09:34:50.672455,2026-01-28 09:34:53.967395,0 days 00:00:03.294940,128,0.2442746722611075,128,128,0.0011211273996181365,1.9457539402565545e-05,COMPLETE
15,0.019644012674689293,2026-01-28 09:34:53.969708,2026-01-28 09:34:59.472872,0 days 00:00:05.503164,128,0.1348544255918974,256,256,0.001641347531253455,4.459169155219377e-05,COMPLETE
16,0.023722970858216286,2026-01-28 09:34:59.474767,2026-01-28 09:35:01.668334,0 days 00:00:02.193567,128,0.29650137501918206,256,128,0.000693705218536657,8.548089268758327e-05,PRUNED
17,0.01938006468117237,2026-01-28 09:35:01.670004,2026-01-28 09:35:05.477894,0 days 00:00:03.807890,128,0.2114781247804532,128,256,0.0009076045063901572,0.00015107653087335611,COMPLETE
18,0.01999768242239952,2026-01-28 09:35:05.479394,2026-01-28 09:35:12.645573,0 days 00:00:07.166179,128,0.0961428631062434,256,256,0.0006248144964825566,1.9194132271333795e-05,COMPLETE
19,0.01955125667154789,2026-01-28 09:35:12.647666,2026-01-28 09:35:16.150190,0 days 00:00:03.502524,128,0.2581665942702273,128,128,0.0005028378268818462,5.7317091291796714e-05,COMPLETE
20,0.019508978351950645,2026-01-28 09:35:16.152465,2026-01-28 09:35:20.091976,0 days 00:00:03.939511,128,0.17174031194622874,256,128,0.0014393224908389101,1.8570151312513643e-05,COMPLETE
21,0.0209736917167902,2026-01-28 09:35:20.093656,2026-01-28 09:35:22.377240,0 days 00:00:02.283584,128,0.21167690041356202,128,256,0.0008876520693699973,0.00015595644258557416,PRUNED
22,0.019405344501137733,2026-01-28 09:35:22.379142,2026-01-28 09:35:27.696234,0 days 00:00:05.317092,128,0.20913821980926595,128,256,0.001025572543282096,0.00028751225774426627,COMPLETE
23,0.022107599303126335,2026-01-28 09:35:27.698472,2026-01-28 09:35:29.983789,0 days 00:00:02.285317,128,0.26387984288369437,128,256,0.000816052510249714,0.00011785862884236645,PRUNED
24,0.019848959520459175,2026-01-28 09:35:29.985896,2026-01-28 09:35:34.180968,0 days 00:00:04.195072,128,0.18552661384336355,128,256,0.0006522209919703413,6.045499193818439e-05,COMPLETE
25,0.01994255557656288,2026-01-28 09:35:34.183361,2026-01-28 09:35:40.632031,0 days 00:00:06.448670,128,0.22826363796531826,128,256,0.000749585271995254,0.00032356999752126996,COMPLETE
